Date,AL,BA,BE,BG,CY,DE,DK,EE,EL,ES,FI,FR,HR,IE,IT,LT,LV,ME,ML,NL,NO,PL,PT,RO,SE,SI,UK
2008-02-06,0.0,0.0,0.0,81.94892341185013,0.0,0.0,122217.6257328,14238.8871396064,0.0,0.0,30.154800195,469.633773995,0.29264287506,0.0,38.65758624,0.0,0.0,0.0,0.0,13596.29476392,17.47724345,0.0,0.0,0.0,1977.09954792,0.0,102571.531690845
2008-02-07,0.0,0.0,0.0,967.9820370209552,0.0,0.0,98495.75563776,2697.6352249808,0.0,0.0,7.216355559999999,231.2811196622,10.858599252,0.0,134.9873284788,0.0,0.0,0.0,0.0,7984.41400581,16.539430732,0.0,0.0,0.0,1036.950436893,0.0,119838.291168545
2008-02-08,0.0,0.0,0.0,16965.638879178,0.0,0.0,61177.47411828,5654.2582324384,0.0,0.0,15.24209621,244.5550296786,19.61365512,0.0,297.484014492,0.0,0.0,0.0,0.0,8057.75604546,15.291674015999998,0.0,0.0,0.0,738.530294201,0.0,117131.126472055
2008-02-09,0.0,0.0,0.0,18400.745102937,0.0,0.0,76085.16595992,13714.2630352,0.0,0.0,31.531918565,187.2632896317,11.87259976,0.0,143.586071748,0.0,0.0,0.0,0.0,4851.455528898,14.403450907999998,0.0,0.0,0.0,1322.61184384,0.0,87280.354703665
2008-02-10,0.0,0.0,0.0,19654.622764659,0.0,0.0,40217.248986096,6843.0586085696,0.0,0.0,7.47103017,113.7158135908,7.041620702,0.0,66.8035490976,0.0,0.0,0.0,0.0,999.413071503,16.586975158999998,0.0,0.0,0.0,493.085831126,0.0,17437.894333701
2008-02-11,0.0,0.0,0.0,19577.265049002,0.0,0.0,3400.656933804,2876.3956489648,0.0,0.0,7.681430215,292.5077037345,9.3178308,0.0,68.6936915532,0.0,0.0,0.0,0.0,768.4966661658,18.380542828,0.0,0.0,0.0,336.999008108,0.0,67581.104837875
2008-02-12,0.0,0.0,0.0,15815.117323941002,0.0,0.0,8442.882317688,1874.3417972648,0.0,0.0,41.3935356,268.5794353286,4.641114156,0.0,23.6078716608,0.0,0.0,0.0,0.0,376.7435464518,22.280086591,0.0,0.0,0.0,1086.885332414,0.0,37544.095054009
2008-02-13,0.0,0.0,0.0,7504.703587569001,0.0,0.0,26212.397719404,20008.610139648,0.0,0.0,72.325892,219.9462551037,2.692694502,0.0,32.3284455144,0.0,0.0,0.0,0.0,117.93284773974,20.39976927,0.0,0.0,0.0,2194.11880303,0.0,14204.468695225
2008-02-14,0.0,0.0,0.0,3524.7825420324,0.0,0.0,28335.319804116,30773.77524984,0.0,0.0,85.04561595,331.99786573200004,1.1118740658,0.0,33.0780431016,0.0,0.0,0.0,0.0,593.5467893256,18.238920811,0.0,0.0,0.0,2970.60695743,0.0,42518.023530785
2008-02-15,0.0,0.0,0.0,2063.7613270488,0.0,0.0,37059.715186104,30153.907838736,0.0,0.0,69.77239645,330.269383974,9.9188362346,0.0,30.7046041848,0.0,0.0,0.0,0.0,5918.72799375,8.9727651957,0.0,0.0,0.0,2385.78505725,0.0,48213.85473284
2008-02-16,0.0,0.0,0.0,17255.405408904,0.0,0.0,49150.354892028,11534.066686032,0.0,0.0,55.209696175,389.827514024,18.9108796,0.0,255.476080188,0.0,0.0,0.0,0.0,2423.565323421,22.074409367,0.0,0.0,0.0,2066.53291327,0.0,55150.857032
2008-02-17,0.0,0.0,0.0,18900.718313445,0.0,0.0,125267.6248512,24805.819999312,0.0,0.0,44.209229625,384.103928083,5.065775318,0.0,202.093675812,0.0,0.0,0.0,0.0,1456.7432773740002,18.42575517,0.0,0.0,0.0,2730.33134633,0.0,40730.32503432
2008-02-18,0.0,0.0,0.0,4316.228031018601,0.0,0.0,123255.91233384,13979.97145064,0.0,0.0,57.6239797,321.306487412,5.761399588,0.0,45.0565750404,0.0,0.0,0.0,0.0,1344.369575472,17.326867863,0.0,0.0,0.0,2518.68185737,0.0,24338.411741168
2008-02-19,0.0,0.0,0.0,8342.5765456887,0.0,0.0,40144.880420736,17732.151554911998,0.0,0.0,29.43939365,275.5099983743,1.427597873548,0.0,34.1932437252,0.0,0.0,0.0,0.0,477.5648267775,6.223149999299999,0.0,0.0,0.0,825.397371715,0.0,30182.3567684415
2008-02-20,0.0,0.0,0.0,5800.31324507541,0.0,0.0,37143.73346424,8903.377090358399,0.0,0.0,14.4633697725,151.7708400024,1.968354140012,0.0,74.69247870000001,0.0,0.0,0.0,0.0,850.3515932476621,8.673479813999998,0.0,0.0,0.0,731.670487142,0.0,68279.213515835
2008-02-21,0.0,0.0,0.0,2323.6505732331,0.0,0.0,107890.39372488,16464.4206870912,0.0,0.0,63.9255075,266.0416410312,2.14413632944,0.0,40.7422527876,0.0,0.0,0.0,0.0,13496.76272538,20.118720379,0.0,0.0,0.0,2875.35155817,0.0,143305.21752016002
2008-02-22,0.0,0.0,0.0,2041.02917224125,0.0,0.0,120820.56114024,29588.344080272,0.0,0.0,74.67965195000001,385.135498917,0.0070810709178,0.0,9.04922898264,0.0,0.0,0.0,0.0,15110.71297461,23.329221931,0.0,0.0,0.0,3467.5810643600003,0.0,151792.88436904
2008-02-23,0.0,0.0,0.0,9218.508312636,0.0,0.0,127356.74515044,29163.161768592,0.0,0.0,59.32994375,139.20038325570002,0.832182319614,0.0,7.029433066319999,0.0,0.0,0.0,0.0,13093.40826024,16.672287886,0.0,0.0,0.0,3133.65340687,0.0,134935.62128329
2008-02-24,0.0,0.0,0.0,971.806689289494,0.0,0.0,126928.90436616,21784.449537696,0.0,0.0,60.261287475,268.6350677677,0.34420960842,0.0,19.7203700736,0.0,0.0,0.0,0.0,11939.23995231,20.456549623,0.0,0.0,0.0,3351.61627094,0.0,110438.75476688
2008-02-25,0.0,0.0,0.0,6910.6585346244,0.0,0.0,116602.20610896,30132.779157504,0.0,0.0,76.3729767,273.2060924086,0.040739724497,0.0,5.588106305039999,0.0,0.0,0.0,0.0,7734.341737815001,13.65651887,0.0,0.0,0.0,3471.60856406,0.0,129850.031179535
