Date,AT,CH,DE,ES,FI,FR,IT,NO,PT,RO,SE,SK
1990-12-31,2779900.060601213,29549.892046691057,151886310.54495767,33111367.55948576,5766346.041651802,35438683.08933839,7294818.637667744,10866375.020818606,43358.30481466567,8373396.187081667,594221.7520464364,18199560.004668843
1991-12-31,2815425.080124643,24601.78168764669,131863364.3693142,34466291.953566685,5314089.540986545,34412553.18004873,7839984.221787288,8902368.626055844,45328.58152005081,8471003.629407484,532116.1610037099,18521439.823567443
1992-12-31,3108833.064940198,28762.69590828151,147017827.68347654,34728035.219806924,6170055.5724756345,34807888.14178993,7682548.3273434155,9541800.454104844,46543.57647892555,9972829.183498722,580401.1608670224,20677076.378036045
1993-12-31,3201874.881946842,30505.153995929693,145364790.80066085,33382089.67705944,5416221.215760279,35546187.2276225,8006244.979147166,9393819.995378876,43416.927809603665,10239751.788070953,567136.3109662102,19564303.169344
1994-12-31,3023760.805903933,30402.531071995993,152331602.04660934,35928502.67999019,5211162.045404933,36060917.144009925,7702334.232318062,8947242.036811834,45478.873557017774,8989734.77630433,538240.8603977764,19539749.69222719
1995-12-31,3332031.4053280996,32740.453841096514,146800999.05550084,37882073.89110723,5947597.163633666,36750980.90158574,8766510.763439065,9624788.346862817,47315.64795466878,8870865.22635938,585975.4235845375,20180895.743729312
1996-12-31,2842294.532645388,23846.76554313697,122572117.25076064,39718801.61084167,5107415.673975865,34582337.307923175,8460812.913800368,8124835.46785775,49619.2685381289,8476448.86295498,477948.413979095,18962146.60774983
1997-12-31,3100247.111813139,26406.252686038588,131920565.35825492,33023728.45878239,5545573.536333358,33603206.98147051,8316637.530438678,9560302.103004618,40769.90650859375,9318762.75337643,536869.2705479999,19732475.26556497
1998-12-31,3304819.8003285,32121.789013083504,156656513.754489,34322913.84821672,5371478.690256223,37562578.53299252,8443785.97767675,8491048.26387201,42380.06219867735,10246033.942279745,555879.7018053876,21566288.78726663
1999-12-31,3060039.309780838,31797.06450961028,144860871.35345832,37931516.89814383,5124393.60384588,38400362.85299122,8827935.083712973,8788268.902993923,46653.82967885175,9173050.7224906,524516.8320049864,20267225.61346678
2000-12-31,3174551.872651791,25692.53915023257,143734884.0861725,36772764.382939406,5641177.696396406,36525090.535316594,7828325.803816435,9679795.781711495,46596.347962070424,9279805.450740797,543916.4743562054,20337814.495293297
2001-12-31,3081394.777821451,30907.3518424612,135809445.29466665,39595555.104559466,5268825.753340628,37187968.15188118,9079379.800688105,8281665.036122286,51237.81041299525,9763285.987661932,503203.29886089335,21532667.418774482
2002-12-31,3023993.0496070166,27604.866910668818,139810608.61334154,36863048.04459643,4656700.771256254,37976688.86800126,7621591.731813022,7613957.314191092,45534.63178926975,9773963.579779888,505319.47690781177,20283433.911011294
2003-12-31,2743912.286361184,23699.593211285603,122365229.22211081,36743656.21051688,5500713.795385379,32927711.66026808,8346351.987075849,8214270.863862134,45158.86945681093,8528700.067650547,511481.1995035928,18895511.432900924
2004-12-31,3000029.1096849157,27516.123302208904,138951024.25211224,33472925.27718171,4980903.055709107,34421927.03160002,8257099.183406779,8732973.95664478,40536.7004586104,9205860.787529979,517660.0422310048,19795053.131099943
2005-12-31,3002206.1823362033,23101.251610755964,129559401.78809753,34106611.61943765,5624753.454089165,33467234.540129375,7577948.397542559,9176789.77862612,42302.22949497415,8977523.550396265,533333.1318099137,18766103.529724233
2006-12-31,2728362.843903525,23540.36361073273,133840940.20703225,33969933.68273642,5105992.452140471,34454498.56051377,7434599.956110873,8907038.923895078,41497.03547527925,8219717.317628615,494223.8695708095,16939883.638823144
2007-12-31,3287973.5508769564,32066.142697675907,154535079.53540987,33667853.07763918,5488639.562831549,36676493.62011656,8074619.578978958,9248664.20674491,39207.830984469656,9747005.758047618,551915.116615761,20054326.658505075
2008-12-31,3014008.2823488633,27579.506918539686,141606652.52095821,36328640.692636326,5215905.557472305,34681412.40812842,8103363.607290046,8673492.510092245,45211.899847916,9174504.234652668,544656.2128742908,20714399.2656582
